flight_id,departure_airport,arrival_airport,distance_km,aircraft_code
1,DME,LED,940,94495773520021,321
2,DME,LED,940,94495773520021,321
3,DME,LED,940,94495773520021,321
4,DME,LED,940,94495773520021,321
5,DME,LED,940,94495773520021,321
6,DME,LED,940,94495773520021,321
7,DME,LED,940,94495773520021,321
8,DME,LED,940,94495773520021,321
9,DME,LED,940,94495773520021,321
10,DME,LED,940,94495773520021,321
11,DME,LED,940,94495773520021,321
12,DME,LED,940,94495773520021,321
13,DME,LED,940,94495773520021,321
14,DME,LED,940,94495773520021,321
15,DME,LED,940,94495773520021,321
16,DME,LED,940,94495773520021,321
17,DME,LED,940,94495773520021,321
18,DME,LED,940,94495773520021,321
19,DME,LED,940,94495773520021,321
20,DME,LED,940,94495773520021,321
21,DME,LED,940,94495773520021,321
22,DME,LED,940,94495773520021,321
23,DME,LED,940,94495773520021,321
24,DME,LED,940,94495773520021,321
25,DME,LED,940,94495773520021,321
26,DME,LED,940,94495773520021,321
27,DME,LED,940,94495773520021,321
28,DME,LED,940,94495773520021,321
29,DME,LED,940,94495773520021,321
30,DME,LED,940,94495773520021,321
31,DME,LED,940,94495773520021,321
32,DME,LED,940,94495773520021,321
33,DME,LED,940,94495773520021,321
34,DME,LED,940,94495773520021,321
35,DME,LED,940,94495773520021,321
36,DME,LED,940,94495773520021,321
37,DME,LED,940,94495773520021,321
38,DME,LED,940,94495773520021,321
39,DME,LED,940,94495773520021,321
40,DME,LED,940,94495773520021,321
41,DME,LED,940,94495773520021,321
42,DME,LED,940,94495773520021,321
43,DME,LED,940,94495773520021,321
44,DME,LED,940,94495773520021,321
45,DME,LED,940,94495773520021,321
46,DME,LED,940,94495773520021,321
47,DME,LED,940,94495773520021,321
48,DME,LED,940,94495773520021,321
49,DME,LED,940,94495773520021,321
50,DME,LED,940,94495773520021,321
51,DME,LED,940,94495773520021,321
52,DME,LED,940,94495773520021,321
53,DME,LED,940,94495773520021,321
54,DME,LED,940,94495773520021,321
55,DME,LED,940,94495773520021,321
56,DME,LED,940,94495773520021,321
57,DME,LED,940,94495773520021,321
58,DME,LED,940,94495773520021,321
59,DME,LED,940,94495773520021,321
60,DME,LED,940,94495773520021,321
61,DME,LED,940,94495773520021,321
62,DME,LED,940,94495773520021,321
63,DME,LED,940,94495773520021,321
64,DME,LED,940,94495773520021,321
65,DME,LED,940,94495773520021,321
66,DME,LED,940,94495773520021,321
67,DME,LED,940,94495773520021,321
68,DME,LED,940,94495773520021,321
69,DME,LED,940,94495773520021,321
70,DME,LED,940,94495773520021,321
71,DME,LED,940,94495773520021,321
72,DME,LED,940,94495773520021,321
73,DME,LED,940,94495773520021,321
74,DME,LED,940,94495773520021,321
75,DME,LED,940,94495773520021,321
76,DME,LED,940,94495773520021,321
77,DME,LED,940,94495773520021,321
78,DME,LED,940,94495773520021,321
79,DME,LED,940,94495773520021,321
80,DME,LED,940,94495773520021,321
81,DME,LED,940,94495773520021,321
82,DME,LED,940,94495773520021,321
83,DME,LED,940,94495773520021,321
84,DME,LED,940,94495773520021,321
85,DME,LED,940,94495773520021,321
86,DME,LED,940,94495773520021,321
87,DME,LED,940,94495773520021,321
88,DME,LED,940,94495773520021,321
89,DME,LED,940,94495773520021,321
90,DME,LED,940,94495773520021,321
91,DME,LED,940,94495773520021,321
92,DME,LED,940,94495773520021,321
93,DME,LED,940,94495773520021,321
94,DME,LED,940,94495773520021,321
95,DME,LED,940,94495773520021,321
96,DME,LED,940,94495773520021,321
97,DME,LED,940,94495773520021,321
98,DME,LED,940,94495773520021,321
99,DME,LED,940,94495773520021,321
100,DME,LED,940,94495773520021,321
101,DME,LED,940,94495773520021,321
102,DME,LED,940,94495773520021,321
103,DME,LED,940,94495773520021,321
104,DME,LED,940,94495773520021,321
105,DME,LED,940,94495773520021,321
106,DME,LED,940,94495773520021,321
107,DME,LED,940,94495773520021,321
108,DME,LED,940,94495773520021,321
109,DME,LED,940,94495773520021,321
110,DME,LED,940,94495773520021,321
111,DME,LED,940,94495773520021,321
112,DME,LED,940,94495773520021,321
113,DME,LED,940,94495773520021,321
114,DME,LED,940,94495773520021,321
115,DME,LED,940,94495773520021,321
116,DME,LED,940,94495773520021,321
117,DME,LED,940,94495773520021,321
118,DME,LED,940,94495773520021,321
119,DME,LED,940,94495773520021,321
120,DME,LED,940,94495773520021,321
121,DME,LED,940,94495773520021,321
122,DME,LED,940,94495773520021,321
123,DME,LED,940,94495773520021,321
124,DME,LED,940,94495773520021,321
125,DME,LED,940,94495773520021,321
126,DME,LED,940,94495773520021,321
127,DME,LED,940,94495773520021,321
128,DME,LED,940,94495773520021,321
129,DME,LED,940,94495773520021,321
130,DME,LED,940,94495773520021,321
131,DME,LED,940,94495773520021,321
132,DME,LED,940,94495773520021,321
133,DME,LED,940,94495773520021,321
134,DME,LED,940,94495773520021,321
135,DME,LED,940,94495773520021,321
136,DME,LED,940,94495773520021,321
137,DME,LED,940,94495773520021,321
138,DME,LED,940,94495773520021,321
139,DME,LED,940,94495773520021,321
140,DME,LED,940,94495773520021,321
141,DME,LED,940,94495773520021,321
142,DME,LED,940,94495773520021,321
143,DME,LED,940,94495773520021,321
144,DME,LED,940,94495773520021,321
145,DME,LED,940,94495773520021,321
146,DME,LED,940,94495773520021,321
147,DME,LED,940,94495773520021,321
148,DME,LED,940,94495773520021,321
149,DME,LED,940,94495773520021,321
150,DME,LED,940,94495773520021,321
151,DME,LED,940,94495773520021,321
152,DME,LED,940,94495773520021,321
153,DME,LED,940,94495773520021,321
154,DME,LED,940,94495773520021,321
155,DME,LED,940,94495773520021,321
156,DME,LED,940,94495773520021,321
157,DME,LED,940,94495773520021,321
158,DME,LED,940,94495773520021,321
159,DME,LED,940,94495773520021,321
160,DME,LED,940,94495773520021,321
161,DME,LED,940,94495773520021,321
162,DME,LED,940,94495773520021,321
163,DME,LED,940,94495773520021,321
164,DME,LED,940,94495773520021,321
165,DME,LED,940,94495773520021,321
166,DME,LED,940,94495773520021,321
167,DME,LED,940,94495773520021,321
168,DME,LED,940,94495773520021,321
169,DME,LED,940,94495773520021,321
170,DME,LED,940,94495773520021,321
171,DME,LED,940,94495773520021,321
172,DME,LED,940,94495773520021,321
173,DME,LED,940,94495773520021,321
174,DME,LED,940,94495773520021,321
175,DME,LED,940,94495773520021,321
176,DME,LED,940,94495773520021,321
177,DME,LED,940,94495773520021,321
178,DME,LED,940,94495773520021,321
179,DME,LED,940,94495773520021,321
180,DME,LED,940,94495773520021,321
181,DME,LED,940,94495773520021,321
182,DME,LED,940,94495773520021,321
183,DME,LED,940,94495773520021,321
184,DME,LED,940,94495773520021,321
185,DME,LED,940,94495773520021,321
186,DME,LED,940,94495773520021,321
187,DME,LED,940,94495773520021,321
188,DME,LED,940,94495773520021,321
189,DME,LED,940,94495773520021,321
190,DME,LED,940,94495773520021,321
191,DME,LED,940,94495773520021,321
192,DME,LED,940,94495773520021,321
193,DME,LED,940,94495773520021,321
194,DME,LED,940,94495773520021,321
195,DME,LED,940,94495773520021,321
196,DME,LED,940,94495773520021,321
197,DME,LED,940,94495773520021,321
198,DME,LED,940,94495773520021,321
199,DME,LED,940,94495773520021,321
200,DME,LED,940,94495773520021,321
201,DME,LED,940,94495773520021,321
202,DME,LED,940,94495773520021,321
203,DME,LED,940,94495773520021,321
204,DME,LED,940,94495773520021,321
205,DME,LED,940,94495773520021,321
206,DME,LED,940,94495773520021,321
207,DME,LED,940,94495773520021,321
208,DME,LED,940,94495773520021,321
209,DME,LED,940,94495773520021,321
210,DME,LED,940,94495773520021,321
211,DME,LED,940,94495773520021,321
212,DME,LED,940,94495773520021,321
213,DME,LED,940,94495773520021,321
214,DME,LED,940,94495773520021,321
